A_id,B_id
581,3
581,5
581,6
581,7
581,35
582,2
582,3
582,5
582,6
582,7
582,35
583,5
583,6
583,7
584,2
584,3
584,5
584,6
584,7
584,8
584,35
585,2
585,3
585,5
585,6
585,7
585,35
586,2
586,3
586,5
586,6
586,7
586,35
587,2
587,3
587,5
587,6
587,7
587,35
588,2
588,3
588,5
588,6
588,7
589,2
589,3
589,5
589,6
589,7
589,35
593,2720
594,2
594,3
594,5
594,6
594,7
594,35
597,2
597,3
597,5
597,6
597,7
597,35
598,2
598,3
598,5
598,6
598,7
598,35
599,2
599,3
599,5
599,6
599,7
599,35
600,2
600,3
600,5
600,6
600,7
600,35
602,2
602,3
602,5
602,6
602,7
603,2
603,3
603,5
603,6
603,7
603,35
604,2
604,3
604,5
604,6
604,7
604,35
606,22
606,26
606,1069
606,1074
607,2
607,3
607,5
607,6
607,7
607,35
607,67
608,2
608,3
608,5
608,6
608,7
608,35
610,2
610,3
610,5
610,6
610,7
610,35
611,2
611,3
611,5
611,6
611,7
611,35
614,2
614,3
614,5
614,6
614,7
616,2
616,3
616,5
616,6
616,7
616,35
617,8
618,2
618,3
618,5
618,6
618,7
618,35
619,8
619,134
620,2
620,3
620,5
620,6
620,7
620,35
624,2
624,3
624,5
624,6
624,7
624,35
625,4
626,2
626,3
626,5
626,6
626,7
626,9
626,10
626,11
626,35
627,2
627,3
627,4
627,5
627,6
627,7
627,35
629,2
629,3
629,5
629,6
629,7
629,35
630,2
630,3
630,5
630,6
630,7
630,35
631,2
631,3
631,5
631,6
631,7
631,35
633,2
633,3
633,5
633,6
633,7
633,35
634,2
634,3
634,5
634,6
634,7
634,35
635,2
635,3
635,5
635,6
635,7
635,35
637,18
639,2
639,3
639,5
639,6
639,7
639,35
639,67
640,2
640,3
640,5
640,6
640,7
641,2
641,3
641,5
641,6
641,7
641,35
642,233
643,2
643,3
643,5
643,6
643,7
643,35
644,2
644,3
644,5
644,6
644,7
644,35
647,2
647,3
647,5
647,6
647,7
647,35
648,2
648,3
648,4
648,5
648,6
648,7
648,35
649,2
649,3
649,5
649,6
649,7
649,35
650,8
651,2
651,3
651,5
651,6
651,7
651,35
654,2
654,3
654,5
654,6
654,7
654,35
658,2
658,3
658,5
658,6
658,7
658,35
659,2
659,3
659,5
659,6
659,7
659,35
660,2
660,3
660,5
660,6
660,7
660,35
662,2
662,3
662,5
662,6
662,7
662,35
667,8
669,2428
670,8
671,1642
672,8
673,2
673,3
673,5
673,6
673,7
673,35
674,2
674,3
674,5
674,6
674,7
674,35
676,1095
677,22
677,26
677,1069
677,1074
679,2
679,3
679,5
679,6
679,7
679,35
681,2
681,3
681,5
681,6
681,7
681,35
